syndrome_name,feature,group_1,group_2,n_healthy_group_1,n_healthy_group_2,n_disease_group_1,n_disease_group_2,evidence_level,healthy_mean_group_1,healthy_mean_group_2,disease_mean_group_1,disease_mean_group_2,raw_disease_effect_group_1,raw_disease_effect_group_2,hedges_g_group_1,hedges_g_group_2,delta_hedges_g_group2_minus_group1,abs_delta_hedges_g,interaction_beta_group2_minus_group1,interaction_standard_error,interaction_ci_lower,interaction_ci_upper,interaction_ci_excludes_zero,interaction_p_value,same_effect_direction,direction_reversal,within_syndrome_fdr_q_value,within_syndrome_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority_interaction,high_confidence_interaction
SOTOS SYNDROME; SOTOS,eye_fissure_fill_r,African,South Asian,143,143,11,10,moderate,0.2319091889016953,0.24079198326469542,0.26578891092909007,0.32823766953115086,0.03387972202739478,0.08744568626645544,0.5239335767763963,1.563060712976979,1.0391271362005825,1.0391271362005825,0.053565964239060265,0.013496880468834618,0.027112564616502334,0.0800193638616182,True,7.224569353524763e-05,True,False,0.0025627695341895276,True,0.0032900672325159724,True,True,True
Cornelia de Lange syndrome,nose_tip_elevation,African,European,143,143,22,177,primary,0.04372177264152912,0.04471113468379042,0.058614828040301874,0.04930352121271267,0.014893055398772753,0.00459238652892225,1.4467781125380301,0.3692656318545954,-1.0775124806834349,1.0775124806834349,-0.010300668869850186,0.002599406230995013,-0.015395411463789414,-0.005205926275910956,True,7.41066652548377e-05,True,False,0.005119210428788131,True,0.0033609060583808885,True,True,True
SOTOS SYNDROME; SOTOS,eye_fissure_height_l,African,South Asian,143,143,11,10,moderate,0.06998256989918504,0.0740935779685218,0.08750529934042685,0.10929361137209563,0.017522729441241808,0.03520003340357383,0.8602722144105106,1.9259714774170167,1.065699263006506,1.065699263006506,0.017677303962331962,0.004460535366347413,0.008934815292523856,0.026419792632140067,True,7.39997165811978e-05,True,False,0.002589990080341923,True,0.0033609060583808885,True,True,True
Noonan syndrome,forehead_width_mid,East Asian,European,143,143,10,68,moderate,0.8659956822081283,0.8681415358193747,0.9189261440897981,0.8873374145719355,0.05293046188166983,0.01919587875256079,2.222711265911616,0.7182314960892319,-1.5044797698223844,1.5044797698223844,-0.033734583129108625,0.008536627734232085,-0.05046606603762928,-0.017003100220587975,True,7.758311562651213e-05,True,False,0.006171384197563464,True,0.0034821375013644024,True,True,True
Cornelia de Lange syndrome,eye_fissure_slant_mean,African,European,143,143,22,177,primary,4.664066519871331,3.4251770419022325,0.7529693892164562,2.8533926005305594,-3.9110971306548747,-0.5717844413716731,-1.432493012260059,-0.1926525285157894,1.2398404837442696,1.2398404837442696,3.3393126892832177,0.8452347202469546,1.6826830791163987,4.995942299450037,True,7.790604770031665e-05,True,False,0.005243676287521313,True,0.0034869452935982433,True,True,True
Cornelia de Lange syndrome,columella_hang_below_ala,African,European,143,143,22,177,primary,0.04045630537547077,0.03795175094189049,-0.01210551704891983,0.016093024936654904,-0.0525618224243906,-0.021858726005235585,-1.7768606430279847,-0.576214379441631,1.2006462635863537,1.2006462635863537,0.030703096419155126,0.007831988506911424,0.015352681018277104,0.04605351182003315,True,8.846918081044966e-05,True,False,0.005805789990685759,True,0.003857326683214234,True,True,True
Rubinstein-Taybi syndrome,gaze_asym_x,African,East Asian,143,143,13,15,moderate,-0.054651017213793576,0.0299731742490501,-0.015147026974586315,-0.04073415324436592,0.03950399023920726,-0.07070732749341602,0.7058998129223836,-1.2689811923466288,-1.9748810052690122,1.9748810052690122,-0.11021131773262323,0.02818801716366502,-0.16545881616900354,-0.05496381929624291,True,9.234804298018871e-05,False,True,0.01464219783916859,True,0.003999923469003562,True,True,True
Noonan syndrome,malar_bulge_mean,African,European,143,143,22,68,primary,0.03637469078005228,0.0431630478595418,0.02146870000612069,0.03751533480314235,-0.01490599077393159,-0.005647713056399453,-2.02154202138416,-0.8344863193861546,1.1870557019980055,1.1870557019980055,0.009258277717532092,0.0023686353987014686,0.004615837643570542,0.013900717791493641,True,9.279531942014747e-05,True,False,0.007164344514055503,True,0.0040157507074630346,True,True,True
Hyperphosphatasia with mental retardation syndrome,eb_position_r,African,European,143,143,27,27,primary,0.3680374827925917,0.3629357675333865,0.3996475174140692,0.3215903578932405,0.03161003462147749,-0.04134540964014605,0.43600804691242323,-0.5065126219213613,-0.9425206688337845,0.9425206688337845,-0.07295544426162393,0.0186654029935036,-0.10953896188581709,-0.03637192663743076,True,9.283560570865114e-05,False,True,0.009465188231162517,True,0.0040157507074630346,True,True,True
Rubinstein-Taybi syndrome,nose_tip_to_bridge_ratio,East Asian,European,143,143,15,55,moderate,3.3368058202303215,3.338986239455327,3.2228465570540274,3.405498978513093,-0.11395926317629401,0.066512739057766,-0.7223002904863811,0.3844959834095357,1.1067962738959167,1.1067962738959167,0.18047200223405202,0.04621944915796405,0.08988354649916236,0.2710604579689417,True,9.435146677120183e-05,False,True,0.01464219783916859,True,0.004059953494899555,True,True,True
