syndrome_name,group,feature,n_disease,n_healthy_matched,evidence_level,disease_mean,healthy_mean,mean_difference,disease_median,healthy_median,median_difference,mann_whitney_u,p_value,hedges_g,abs_hedges_g,hedges_g_ci_lower,hedges_g_ci_upper,ci_excludes_zero,effect_category,direction,within_group_fdr_q_value,within_group_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority
VERHEIJ SYNDROME; VRJS,European,hairline_height,21,143,primary,0.19878526092220472,0.18136009170593598,0.017425169216268743,0.1974810639242176,0.1812405642290326,0.016240499695185012,2222.0,0.00039518556072397375,0.9106574871267837,0.9106574871267837,0.4636575370054487,1.4125747830683408,True,large,higher_in_disease,0.005032816392857049,True,0.01352096428934427,True,True
VERHEIJ SYNDROME; VRJS,European,iris_offset_y_r,21,143,primary,-0.07602901438567504,-0.04807802626059159,-0.027950988125083447,-0.0795451699508947,-0.0530710566304162,-0.0264741133204785,728.0,0.00014231903986975533,-0.8674726950309414,0.8674726950309414,-1.28283543077492,-0.48055904957819556,True,large,lower_in_disease,0.0025414114262456307,True,0.006594817150453238,True,True
VERHEIJ SYNDROME; VRJS,European,cupid_bow_drop,21,143,primary,0.02622604437132381,0.0222348140085614,0.003991230362762409,0.0261673846121355,0.0222191160416692,0.0039482685704663005,2192.0,0.0006846794358694226,0.8004637152231382,0.8004637152231382,0.4228708553827668,1.2187325792529946,True,large,higher_in_disease,0.007132077456973152,True,0.019732786412112065,True,True
WEAVER SYNDROME; WVS,European,forehead_height,40,143,primary,0.20550811681258918,0.18136009170593598,0.024148025106653204,0.20384597524272094,0.1812405642290326,0.022605411013688348,4516.0,2.270300621562564e-08,1.2320579304189372,1.2320579304189372,0.87168823021024,1.6191317160149288,True,large,higher_in_disease,1.4189378884766025e-06,True,8.480882610356308e-06,True,True
WEAVER SYNDROME; WVS,European,hairline_height,40,143,primary,0.20550811681258918,0.18136009170593598,0.024148025106653204,0.20384597524272094,0.1812405642290326,0.022605411013688348,4516.0,2.270300621562564e-08,1.2320579304189372,1.2320579304189372,0.881664767151812,1.6017379101687497,True,large,higher_in_disease,1.4189378884766025e-06,True,8.480882610356308e-06,True,True
WEAVER SYNDROME; WVS,European,canthal_to_pupillary_ratio,40,143,primary,0.5827690443081098,0.5536125813073259,0.029156463000783894,0.5798813707959507,0.5509735935716699,0.02890777722428084,4366.0,3.7047622459498726e-07,1.1408204284981072,1.1408204284981072,0.7591061578310717,1.6308985142969419,True,large,higher_in_disease,1.1577382018593352e-05,True,7.960730821634543e-05,True,True
WEAVER SYNDROME; WVS,European,inter_canthal_distance,40,143,primary,0.2681174362177196,0.25195082398911633,0.016166612228603272,0.2683723888106546,0.2522224867932135,0.016149902017441098,4456.0,7.147160261791088e-08,1.0830285101774688,1.0830285101774688,0.75673630360447,1.4281300057602673,True,large,higher_in_disease,2.9779834424129535e-06,True,2.1491267505463142e-05,True,True
WEAVER SYNDROME; WVS,European,face_triangularity,40,143,primary,0.5798702760539581,0.5463955635522286,0.03347471250172951,0.5758283781200877,0.5475766286278632,0.02825174949222453,4271.0,1.9096949723560313e-06,1.0440156362805526,1.0440156362805526,0.6713807364266849,1.4592040081634392,True,large,higher_in_disease,3.410169593492913e-05,True,0.00028343685017218165,True,True
WEAVER SYNDROME; WVS,European,chin_width,40,143,primary,0.3128381459497573,0.3302611228946857,-0.017422976944928392,0.31099458279672143,0.3292658583529574,-0.018271275556235977,1589.0,1.7865444376912816e-05,-0.9606180243010379,0.9606180243010379,-1.3931016607057634,-0.585440469164628,True,large,lower_in_disease,0.0002481311719015669,True,0.0015220888465856642,True,True
WEAVER SYNDROME; WVS,European,jaw_bigonial_width,40,143,primary,0.780041553037349,0.8008186518480824,-0.02077709881073342,0.7802878604417043,0.8010918006628817,-0.020803940221177375,1368.0,4.747131345852465e-07,-0.9533726234756906,0.9533726234756906,-1.3556686843992263,-0.6147672604490416,True,large,lower_in_disease,1.1867828364631162e-05,True,9.758833067240955e-05,True,True
WEAVER SYNDROME; WVS,European,jaw_to_forehead_ratio,40,143,primary,1.0471338996623865,1.1000060249357009,-0.05287212527331442,1.040979104135967,1.1004256305757554,-0.059446526439788316,1427.0,1.3178747206363008e-06,-0.9156021492986217,0.9156021492986217,-1.3130130611255226,-0.564774743514671,True,large,lower_in_disease,2.74557233465896e-05,True,0.00020983374138000115,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,face_triangularity,10,143,moderate,0.5901135892938558,0.5463955635522286,0.0437180257416272,0.583428185611778,0.5475766286278632,0.035851556983914845,1281.0,2.9873490588141535e-05,1.462359735341111,1.462359735341111,1.0526207977323463,1.9885691783284498,True,large,higher_in_disease,0.003734186323517692,True,0.0022063899541624903,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,eb_medial_flare_l,10,143,moderate,-0.14064889426531887,-0.07580625943452861,-0.06484263483079027,-0.1548314770386442,-0.074139228689126,-0.0806922483495182,247.0,0.0005584957683678543,-1.3271915090682196,1.3271915090682196,-1.920190718937105,-0.7666468850449575,True,large,lower_in_disease,0.016317507408333095,True,0.01711219070662125,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,chin_pointedness_angle,10,143,moderate,158.77880032082933,152.04440518418755,6.73439513664178,158.24094841668943,152.2463876335431,5.9945607831463406,1167.0,0.0008594606933722027,1.301854768749353,1.301854768749353,0.6573503271543666,2.0055404099135554,True,large,higher_in_disease,0.016317507408333095,True,0.02304738617182342,True,True
