feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
ala_flare_angle,5.351653207039719,0.14778559000940164,4,Asian:571|African:143|Others:143|European:143,Asian:167.615|African:167.311|Others:165.479|European:166.673,Asian:168.298|African:167.965|Others:165.842|European:167.319,0.17935144418616705,False
columella_length,3.983913080301799,0.26320647443017164,4,Asian:571|African:143|Others:143|European:143,Asian:0.131105|African:0.131568|Others:0.129235|European:0.138468,Asian:0.125891|African:0.127029|Others:0.121242|European:0.133107,0.30184228719056383,False
columella_hang_below_ala,7.25162880502552,0.06429561065679343,4,Asian:571|African:143|Others:143|European:143,Asian:0.0353558|African:0.0404563|Others:0.0432003|European:0.0379518,Asian:0.0348977|African:0.0383149|Others:0.0436934|European:0.0363112,0.0861551056312435,False
nose_to_face_area_ratio,49.75323558095139,9.016806098641376e-11,4,Asian:571|African:143|Others:143|European:143,Asian:0.0370466|African:0.0402016|Others:0.0378055|European:0.0356137,Asian:0.0366283|African:0.0404841|Others:0.0374145|European:0.0350034,5.932109275421958e-10,True
philtrum_length,21.031639504257246,0.00010369533522293893,4,Asian:571|African:143|Others:143|European:143,Asian:0.28173|African:0.291182|Others:0.278284|European:0.300968,Asian:0.2797|African:0.290722|Others:0.281211|European:0.299836,0.0003323568436632658,True
philtrum_width,42.21463452590529,3.6126429796563086e-09,4,Asian:571|African:143|Others:143|European:143,Asian:0.301454|African:0.305792|Others:0.297533|European:0.296717,Asian:0.299038|African:0.304557|Others:0.294969|European:0.294976,2.1395569884887432e-08,True
mouth_width,40.82471125424468,7.123613576481178e-09,4,Asian:571|African:143|Others:143|European:143,Asian:0.362554|African:0.395186|Others:0.379362|European:0.368556,Asian:0.355143|African:0.385052|Others:0.379281|European:0.359299,3.871529117652814e-08,True
mouth_opening,12.58254073188475,0.005632130094591847,4,Asian:571|African:143|Others:143|European:143,Asian:0.132579|African:0.169609|Others:0.117654|European:0.128646,Asian:0.118991|African:0.164154|Others:0.116539|European:0.115614,0.010666913057939105,True
upper_vermilion_height,14.117313666933367,0.002749740564897974,4,Asian:571|African:143|Others:143|European:143,Asian:0.112428|African:0.11584|Others:0.105645|European:0.10551,Asian:0.108751|African:0.111269|Others:0.100993|European:0.0956399,0.006030132817758715,True
lower_vermilion_height,9.839517544497465,0.019980729312859834,4,Asian:571|African:143|Others:143|European:143,Asian:0.187625|African:0.191264|Others:0.182203|European:0.177407,Asian:0.181295|African:0.188178|Others:0.176833|European:0.168354,0.03375123194739837,True
