syndrome_name,group,feature,n_disease,n_healthy_matched,evidence_level,disease_mean,healthy_mean,mean_difference,disease_median,healthy_median,median_difference,mann_whitney_u,p_value,hedges_g,abs_hedges_g,hedges_g_ci_lower,hedges_g_ci_upper,ci_excludes_zero,effect_category,direction,within_group_fdr_q_value,within_group_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority
KCTD3,Asian,eb_inter_distance,5,571,exploratory,0.210127495693237,0.19393098064644232,0.016196515046794674,0.2090548685825152,0.1940452409944149,0.015009627588100316,2512.0,0.003436864747278624,1.3988365245680003,1.3988365245680003,0.8590837801849293,2.1463412159280764,True,large,higher_in_disease,0.030686292386416285,True,0.05397782101476575,False,False
KCTD3,Asian,eye_fissure_length_mean,5,571,exploratory,0.21578782912452285,0.1970743730111375,0.018713456113385346,0.2138185040512612,0.1966931453065879,0.017125358744673302,2475.0,0.0047157725978313435,1.3912835184318182,1.3912835184318182,0.7918659019108252,2.063785498284279,True,large,higher_in_disease,0.034674798513465756,True,0.06556656501930339,False,False
KCTD3,Asian,gaze_asym_x,5,571,exploratory,-0.09937059591071858,-0.014219716877748192,-0.08515087903297039,-0.0985594254426567,-0.0216797783160591,-0.07687964712659759,293.0,0.0022086064318378325,-1.379727599516311,1.379727599516311,-1.869024286486201,-0.9218999061642854,True,large,lower_in_disease,0.02974940744491423,True,0.040348346843580414,True,False
KCTD3,Asian,jaw_to_forehead_ratio,5,571,exploratory,1.0061834359291275,1.0873042810662439,-0.08112084513711637,1.0080661711045469,1.0854238977095605,-0.07735772660501361,376.0,0.0045592453247184,-1.3437464269111685,1.3437464269111685,-1.897267674421422,-0.8406405224668669,True,large,lower_in_disease,0.034674798513465756,True,0.064237921843937,False,False
KCTD3,Asian,inter_canthal_distance,5,571,exploratory,0.2713987049237639,0.25163929559387865,0.019759409329885236,0.2749031935736762,0.2504446717786783,0.02445852179499791,2543.0,0.002617947855152452,1.3418123712036099,1.3418123712036099,0.9378395024857648,1.7152884224069735,True,large,higher_in_disease,0.02974940744491423,True,0.045297234405920865,True,False
KEIPERT SYNDROME; KPTS,European,forehead_height,5,143,exploratory,0.21650600756660773,0.18136009170593598,0.035145915860671756,0.2240990048358999,0.1812405642290326,0.042858440606867304,636.0,0.003172875611151171,1.8469265701792517,1.8469265701792517,0.8778816237921148,2.6667016645661104,True,large,higher_in_disease,0.04406771682154404,True,0.05127720405888267,False,False
KEIPERT SYNDROME; KPTS,European,hairline_height,5,143,exploratory,0.21650600756660773,0.18136009170593598,0.035145915860671756,0.2240990048358999,0.1812405642290326,0.042858440606867304,636.0,0.003172875611151171,1.8469265701792517,1.8469265701792517,0.8858530518009409,2.7083944482646922,True,large,higher_in_disease,0.04406771682154404,True,0.05127720405888267,False,False
KEIPERT SYNDROME; KPTS,European,outer_canthal_distance,5,143,exploratory,0.6855571156064597,0.6418143240654428,0.0437427915410169,0.6836103161366324,0.6381046101962402,0.04550570594039216,662.0,0.0012535069369504033,1.6411829372173687,1.6411829372173687,1.1898903193960706,2.167796896623001,True,large,higher_in_disease,0.04406771682154404,True,0.027359956649354002,True,False
KEIPERT SYNDROME; KPTS,European,inter_pupillary_distance,5,143,exploratory,0.48920968117256425,0.4551515740192434,0.03405810715332086,0.4815678048630772,0.4540688462805384,0.027498958582538813,644.0,0.0024023366628523612,1.6325308018265647,1.6325308018265647,0.8161024180730054,2.5052001719610724,True,large,higher_in_disease,0.04406771682154404,True,0.04267222164840685,True,False
KEIPERT SYNDROME; KPTS,European,inter_canthal_distance,5,143,exploratory,0.27427851438316153,0.25195082398911633,0.022327690394045197,0.2714902777275349,0.2522224867932135,0.019267790934321405,644.0,0.0024023366628523612,1.4767042848529923,1.4767042848529923,0.9557584743766475,2.0746296610584074,True,large,higher_in_disease,0.04406771682154404,True,0.04267222164840685,True,False
KEIPERT SYNDROME; KPTS,European,forehead_width_mid,5,143,exploratory,0.9052187441807689,0.8681415358193747,0.037077208361394165,0.910688768962412,0.8649760230949289,0.045712745867483084,641.0,0.002668591043027176,1.4485433034780977,1.4485433034780977,0.8361614965317647,2.0543847496353607,True,large,higher_in_disease,0.04406771682154404,True,0.045904662437394085,True,False
KEIPERT SYNDROME; KPTS,European,forehead_width_upper,5,143,exploratory,0.7659437365872597,0.7291996362530552,0.0367441003342045,0.7651348180247886,0.7278928675117327,0.0372419505130559,636.0,0.003172875611151171,1.4287433534630354,1.4287433534630354,0.9204977159414239,2.015671316538233,True,large,higher_in_disease,0.04406771682154404,True,0.05127720405888267,False,False
KEIPERT SYNDROME; KPTS,European,malar_bulge_mean,5,143,exploratory,0.03462261818610042,0.0431630478595418,-0.008540429673441381,0.0359817646406799,0.0433590536393677,-0.007377288998687802,76.0,0.002860794988026982,-1.2728946802051437,1.2728946802051437,-1.6842135029454246,-0.9118201335941735,True,large,lower_in_disease,0.04406771682154404,True,0.048107539036328174,True,False
KEIPERT SYNDROME; KPTS,European,cheek_area_mean,5,143,exploratory,0.00573156744887646,0.007763406855828677,-0.0020318394069522164,0.005847255008331,0.0073679677756843,-0.0015207127673533003,71.0,0.0024023366628523612,-1.0687962074510604,1.0687962074510604,-1.3308702962451868,-0.7998721473664336,True,large,lower_in_disease,0.04406771682154404,True,0.04267222164840685,True,False
KOOLEN-DE VRIES SYNDROME; KDVS,European,nose_tip_width,47,143,primary,0.2860052884537837,0.2622765938833323,0.023728694570451403,0.2850675087977149,0.2619733677820036,0.023094141015711334,5529.0,3.3903980564574954e-11,1.3001640356957813,1.3001640356957813,0.9715069802620586,1.7030279381132167,True,large,higher_in_disease,4.237997570571869e-09,True,2.881276201601165e-08,True,True
KOOLEN-DE VRIES SYNDROME; KDVS,European,nostril_region_area,47,143,primary,0.018499742923422376,0.0152075162465076,0.0032922266769147765,0.0175959322803986,0.0148879720381234,0.0027079602422751987,5142.0,5.171727259087141e-08,1.1874703873854129,1.1874703873854129,0.8257532411632477,1.6176555771162093,True,large,higher_in_disease,1.2929318147717852e-06,True,1.2358907052965594e-05,True,True
KOOLEN-DE VRIES SYNDROME; KDVS,European,nose_tip_midline_dent,47,143,primary,0.044617027671384965,0.04047432533258831,0.0041427023387966555,0.0446038427402796,0.0406321622081097,0.003971680532169897,5100.0,1.0555556590451155e-07,1.1306594332615743,1.1306594332615743,0.7781617807736829,1.5333661188928833,True,large,higher_in_disease,2.199074289677324e-06,True,2.2431546930582772e-05,True,True
KOOLEN-DE VRIES SYNDROME; KDVS,European,face_aspect_ratio,47,143,primary,0.8514645210882644,0.9113445079503402,-0.05987998686207574,0.8531492040794469,0.908193630672756,-0.055044426593309104,1533.0,2.324323888904207e-08,-1.113885388576972,1.113885388576972,-1.485027161857366,-0.7651199146998732,True,large,lower_in_disease,7.263512152825647e-07,True,6.4749022619474335e-06,True,True
