syndrome_name,feature,n_disease,n_healthy,disease_mean,healthy_mean,disease_median,healthy_median,mean_difference,hedges_g,abs_hedges_g,mann_whitney_u,p_value,global_fdr_q_value,global_significant_fdr,within_disease_fdr_q_value,bootstrap_direction_stability,hedges_g_bootstrap_ci_lower,hedges_g_bootstrap_ci_upper,pds_effect_component,pds_sample_reliability,pds_reliability_component,pds_q_multiplier,pds_normalized,pds_signed,pds_absolute,pds_category,pds_within_disease_percentile
Stickler syndrome,eb_thickness_asym,23,1000,0.08188332459015597,0.1958716674436749,0.0547402310843789,0.16367274675049384,-0.11398834285351893,-0.8000029914411109,0.8000029914411109,5668.0,3.147446983428734e-05,0.0005887406085018018,True,0.00041878094579498253,1.0,-1.0129772771874586,-0.5649494686011209,0.37995024205101796,0.4372951311930443,0.859323782798261,1.0,-0.3265002792743957,-32.65002792743957,32.65002792743957,weak,90.4
Stickler syndrome,nasolabial_angle,23,1000,175.09100061933,167.70468349809596,177.24811633543223,169.91055811664748,7.386317121234043,0.7900781325390432,0.7900781325390432,17527.0,1.694787383767955e-05,0.00035324608233102577,True,0.00036803800310600135,1.0,0.5514638955014028,1.0116253550585024,0.37569621381569435,0.4372951311930443,0.859323782798261,1.0,0.32284469163908674,32.284469163908675,32.284469163908675,weak,89.60000000000001
Stickler syndrome,forehead_height,23,1000,0.1995524483949663,0.18424466493119035,0.2004849764244202,0.18577311847948408,0.015307783463775954,0.7701280507769124,0.7701280507769124,16144.0,0.0009179658863079322,0.008312877887810944,True,0.00478107232452048,1.0,0.40310234117479327,1.143367046059883,0.36709718607970027,0.4372951311930443,0.859323782798261,1.0,0.3154553425966052,31.545534259660517,31.545534259660517,weak,88.4
Stickler syndrome,hairline_height,23,1000,0.1995524483949663,0.18424466493119035,0.2004849764244202,0.18577311847948408,0.015307783463775954,0.7701280507769124,0.7701280507769124,16144.0,0.0009179658863079322,0.008312877887810944,True,0.00478107232452048,1.0,0.37657036170286784,1.165276209679149,0.36709718607970027,0.4372951311930443,0.859323782798261,1.0,0.3154553425966052,31.545534259660517,31.545534259660517,weak,88.4
Stickler syndrome,malar_bulge_asym,23,1000,0.5809901053513556,1.667633843376471,0.4032833905876365,1.2768244711710126,-1.0866437380251153,-0.7607464437429723,0.7607464437429723,5248.0,8.107576620392544e-06,0.00019324432758836005,True,0.000337815692516356,1.0,-0.9384515562748962,-0.5619640740278066,0.36303154572350776,0.4372951311930443,0.859323782798261,1.0,-0.31196164114622454,-31.196164114622455,31.196164114622455,weak,87.2
Stickler syndrome,philtrum_width,23,1000,0.28911381352606497,0.30083607043358984,0.2889049221724748,0.29853820694786065,-0.011722256907524875,-0.7557232990269637,0.7557232990269637,6074.0,0.00010762560192534609,0.0015764777108880517,True,0.0010348615569744817,1.0,-0.9896206499018538,-0.5231046432329819,0.36084899284769045,0.4372951311930443,0.859323782798261,1.0,-0.31008612155282,-31.008612155282,31.008612155282,weak,86.4
Stickler syndrome,face_asymmetry,23,1000,0.020048791861636633,0.03692899872489251,0.0161743952379557,0.03236913333525565,-0.01688020686325588,-0.7448250414843044,0.7448250414843044,6133.0,0.00012782599395083833,0.0018090967554078375,True,0.0011413035174181994,1.0,-0.9634412937999053,-0.5052060167185481,0.3561001152328644,0.4372951311930443,0.859323782798261,1.0,-0.3060052980768017,-30.60052980768017,30.60052980768017,weak,85.6
Stickler syndrome,eye_fissure_length_asym,23,1000,0.034201490794538575,0.07553477361082343,0.02687833737834,0.0626701390525477,-0.04133328281628486,-0.7277703821787782,0.7277703821787782,6336.0,0.00022806730136124787,0.0028420596221158025,True,0.0015004427721134728,1.0,-0.923291189575126,-0.4985609508470229,0.3486316154659646,0.4372951311930443,0.859323782798261,1.0,-0.2995874386052814,-29.95874386052814,29.95874386052814,weak,84.8
Stickler syndrome,chin_width,23,1000,0.3126385838438457,0.32632937138876345,0.3155918053562841,0.3239284822891444,-0.01369078754491776,-0.7126627891728798,0.7126627891728798,6675.0,0.0005737480795505346,0.005814572885447231,True,0.003259932270173492,1.0,-1.0200067786075215,-0.4446579109098499,0.34197854335669153,0.4372951311930443,0.859323782798261,1.0,-0.2938702955131113,-29.387029551311127,29.387029551311127,weak,84.0
Stickler syndrome,eb_arch_asym,23,1000,0.05998738070732239,0.1324071519136186,0.0601448912335471,0.1022474974667307,-0.07241977120629621,-0.6972923480137524,0.6972923480137524,6553.0,0.00041428330333065957,0.004534089276491479,True,0.002465972043634878,1.0,-0.8619331039881347,-0.4979461592437682,0.335174355452542,0.4372951311930443,0.859323782798261,1.0,-0.28802329502444735,-28.802329502444735,28.802329502444735,weak,83.2
