syndrome,feature,feature_family,anatomical_region,n_disease,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,mannwhitney_q_fdr_global,cell_status
Mucopolysaccharidoses,face_triangularity,face_triangularity,global face shape / proportions,37,-0.0929330862082129,-0.3739985243095226,0.2133506780765829,0.6034554996544306,tested_nonsignificant
Mucopolysaccharidoses,forehead_height,forehead_height,forehead,37,0.1864342084669242,-0.084454723097557,0.49034304379376,0.6714440068737039,tested_nonsignificant
Mucopolysaccharidoses,hairline_height,hairline_height,forehead,37,0.1864342084669242,-0.1098808543442834,0.4975855879720102,0.6714440068737039,tested_nonsignificant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,forehead_width_mid,forehead_width_mid,forehead,24,1.4248374234264716,1.0170882800948935,1.885501225801804,4.827044077270809e-06,significant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,philtrum_length,philtrum_length,philtrum / mouth / lips,24,1.310547920321264,0.9360641293842774,1.7142097279244883,7.241553969251347e-06,significant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,face_triangularity,face_triangularity,global face shape / proportions,24,1.0725611543972875,0.780083642531203,1.3853998780049046,2.336197946780192e-05,significant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,philtrum_width,philtrum_width,philtrum / mouth / lips,24,-0.8675039879356212,-1.1227194041429838,-0.6048824568671365,0.0001710760890246,significant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,malar_bulge_mean,malar_bulge,cheeks / malar region,24,-1.0136411404639945,-1.5022065109081344,-0.5466725027563454,0.002056604142053,significant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,eb_thickness_mean,eb_thickness,eyebrows,24,0.9603032016130756,0.4706222813303458,1.434561301120055,0.0054997272760469,significant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,chin_width,chin_width,chin / jaw,24,-0.638509911731127,-0.9146436592378152,-0.3429702905114642,0.0103137955198791,significant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,inter_pupillary_distance,inter_pupillary_distance,ocular position / iris / gaze,24,0.6886055782731418,0.3016861533166392,1.109418728159544,0.025656853581325,significant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,nose_ala_height_mean,nose_ala_height,nose,24,0.672682278378237,0.2563808898791955,1.1231691121004126,0.0361410912031342,significant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,forehead_height,forehead_height,forehead,24,0.547310590584966,0.1817003747173146,1.0351389972920242,0.1348452348996989,tested_nonsignificant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,hairline_height,hairline_height,forehead,24,0.547310590584966,0.089248073284239,0.943080296478204,0.1348452348996989,tested_nonsignificant
NICOLAIDES-BARAITSER SYNDROME; NCBRS,inter_canthal_distance,inter_canthal_distance,eyes / orbital dimensions,24,0.3991104228923728,0.0143527788669106,0.8100452284371322,0.1960199193002834,tested_nonsignificant
Noonan syndrome,eb_thickness_mean,eb_thickness,eyebrows,34,1.3968143569492697,1.0658958448182196,1.742607443838493,4.149055130057907e-09,significant
Noonan syndrome,inter_canthal_distance,inter_canthal_distance,eyes / orbital dimensions,34,1.33788307706647,0.98383156883772,1.7020012613838031,9.264287490396613e-08,significant
Noonan syndrome,face_triangularity,face_triangularity,global face shape / proportions,34,1.2243864433938392,0.8460470333558155,1.584428388208729,5.034721023875995e-07,significant
Noonan syndrome,inter_pupillary_distance,inter_pupillary_distance,ocular position / iris / gaze,34,1.318882217017805,0.8200175888304531,1.8177713414474108,2.8806779586561127e-06,significant
Noonan syndrome,forehead_width_mid,forehead_width_mid,forehead,34,1.2716776813768302,0.7360023929676335,1.734957390254241,3.6027985480003527e-06,significant
Noonan syndrome,malar_bulge_mean,malar_bulge,cheeks / malar region,34,-1.2381657036005345,-1.6467274148562323,-0.8043723828912324,3.170206531991496e-06,significant
Noonan syndrome,chin_width,chin_width,chin / jaw,34,-0.9094180800368444,-1.1946238569359726,-0.593333694613748,2.4829063675810663e-05,significant
Noonan syndrome,philtrum_length,philtrum_length,philtrum / mouth / lips,34,0.9473727862179484,0.5596387416823029,1.3214942611516562,0.0001336700815224,significant
Noonan syndrome,nose_ala_height_mean,nose_ala_height,nose,34,0.9266414570101312,0.5349589889397545,1.2902891471575555,0.0001763967112141,significant
Noonan syndrome,forehead_height,forehead_height,forehead,34,0.6912551589869309,0.3626865120294004,1.070546653947365,0.0101818793780923,significant
Noonan syndrome,hairline_height,hairline_height,forehead,34,0.6912551589869309,0.3737682158641174,1.0177167078145448,0.0101818793780923,significant
Noonan syndrome,philtrum_width,philtrum_width,philtrum / mouth / lips,34,-0.4442322928815955,-0.7443310033762226,-0.1001953407145935,0.0366024670414307,significant
Rubinstein-Taybi syndrome,chin_width,chin_width,chin / jaw,24,-1.1022998754289568,-1.4060854890510923,-0.8247847993454887,5.432683416376405e-06,significant
Rubinstein-Taybi syndrome,inter_canthal_distance,inter_canthal_distance,eyes / orbital dimensions,24,1.3566177165164266,0.888096327281935,1.7911002340234785,1.914583122019522e-05,significant
Rubinstein-Taybi syndrome,face_triangularity,face_triangularity,global face shape / proportions,24,1.065084860923293,0.669865086561905,1.437088107623945,0.0001141343039164,significant
Rubinstein-Taybi syndrome,inter_pupillary_distance,inter_pupillary_distance,ocular position / iris / gaze,24,1.0552968007711836,0.6109282871572616,1.4400312856594244,0.0004555494542819,significant
Rubinstein-Taybi syndrome,forehead_height,forehead_height,forehead,24,0.94124501204191,0.5558048904823462,1.3164507841417163,0.0013205319716341,significant
Rubinstein-Taybi syndrome,hairline_height,hairline_height,forehead,24,0.94124501204191,0.5723947554622496,1.3799796796233,0.0013205319716341,significant
Rubinstein-Taybi syndrome,malar_bulge_mean,malar_bulge,cheeks / malar region,24,-1.001558727445106,-1.4628332310859595,-0.4922939641232706,0.0028092798681783,significant
Rubinstein-Taybi syndrome,philtrum_width,philtrum_width,philtrum / mouth / lips,24,-0.6674889491073451,-1.0104667351146277,-0.3508578751262054,0.0154858072168601,significant
Rubinstein-Taybi syndrome,eb_thickness_mean,eb_thickness,eyebrows,24,0.6608679442973617,0.2407043803249885,1.143880136358326,0.0607192520540366,tested_nonsignificant
Rubinstein-Taybi syndrome,forehead_width_mid,forehead_width_mid,forehead,24,0.389628889101195,-0.1309203790436092,0.9004864406684514,0.1305734394186412,tested_nonsignificant
Rubinstein-Taybi syndrome,philtrum_length,philtrum_length,philtrum / mouth / lips,24,0.3339843868953316,-0.087966873042072,0.7697432939349519,0.2126303908005346,tested_nonsignificant
Rubinstein-Taybi syndrome,nose_ala_height_mean,nose_ala_height,nose,24,0.0350864575375365,-0.4105118202258682,0.5476332725339885,0.9850257472051148,tested_nonsignificant
SOTOS SYNDROME; SOTOS,face_triangularity,face_triangularity,global face shape / proportions,25,1.2505274585388348,0.9429469042441908,1.602417442538961,2.07708984080633e-06,significant
SOTOS SYNDROME; SOTOS,forehead_width_mid,forehead_width_mid,forehead,25,1.3279207261233474,0.9034605417765698,1.7545052367988938,1.0971751874372274e-05,significant
SOTOS SYNDROME; SOTOS,chin_width,chin_width,chin / jaw,25,-0.9700328643730404,-1.2486680595414388,-0.696063355966493,4.4180440070949795e-05,significant
SOTOS SYNDROME; SOTOS,eb_thickness_mean,eb_thickness,eyebrows,25,0.9906511112110415,0.446419980618887,1.5581284813873195,0.0031987636745282,significant
SOTOS SYNDROME; SOTOS,forehead_height,forehead_height,forehead,25,0.7965238892554952,0.3996041913363002,1.1406743115620694,0.0081798884895203,significant
