shortlist_rank,demographic_layer,syndrome,feature,group,n_disease,n_healthy_matched,hedges_g,hedges_g_ci_lower,hedges_g_ci_upper,global_fdr_q_value,within_group_fdr_q_value,evidence_level,global_significant_fdr,direction_agrees_with_pooled
12,detailed,Coffin-Siris syndrome,philtrum_length,European,33.0,137.0,0.8078513746366839,0.3495272105817347,1.266705692721255,0.086940481059968,0.0215724462574669,primary,False,True
13,detailed,KBG SYNDROME; KBGS,jaw_to_forehead_ratio,European,24.0,137.0,-1.5493530135543956,-2.1188393787711903,-1.0484913883632192,0.0001774139737843,1.636660274763771e-06,primary,True,True
13,detailed,KBG SYNDROME; KBGS,jaw_to_forehead_ratio,Latino/Hispanic,3.0,137.0,-0.8137906220673177,-2.7830969110141837,1.1019327995176105,0.7163817665815754,0.9005251915130059,insufficient,False,True
13,detailed,KBG SYNDROME; KBGS,jaw_to_forehead_ratio,Middle Eastern,2.0,122.0,-2.6654770604326323,-3.1888579973016795,-2.22114827350641,0.215859754333441,0.4134272050361713,insufficient,False,True
14,detailed,SOTOS SYNDROME; SOTOS,forehead_width_mid,African,2.0,136.0,2.296378798568491,1.723170170567969,2.966897514995539,0.2234085574346878,0.2681151067560691,insufficient,False,True
14,detailed,SOTOS SYNDROME; SOTOS,forehead_width_mid,European,20.0,137.0,1.2187383995708378,0.7576158409257748,1.7621698985511351,0.0044701714399266,0.0002380434567092,primary,True,True
15,detailed,Kabuki syndrome,inter_canthal_distance,East Asian,16.0,140.0,1.0117375557592705,0.4638620015467106,1.575483521832553,0.0617471863478134,0.0090175086323618,moderate,False,True
15,detailed,Kabuki syndrome,inter_canthal_distance,European,13.0,137.0,1.0294090110278007,0.4353772828479378,1.6313187866761274,0.0772632289881755,0.0145794730773522,moderate,False,True
15,detailed,Kabuki syndrome,inter_canthal_distance,Middle Eastern,2.0,122.0,-0.0797994336428705,-0.8157528019853237,0.6662618706108354,0.9995468580401085,0.992086942290862,insufficient,False,False
16,detailed,Mucopolysaccharidoses,philtrum_length,African,2.0,136.0,-0.4219691323755146,-0.6313940434451334,-0.2272868494093959,0.7389294685091327,0.5913982196080007,insufficient,False,False
16,detailed,Mucopolysaccharidoses,philtrum_length,European,11.0,137.0,0.8596773653039291,0.3487193864061295,1.4770754436762734,0.2131306418305338,0.2462480479271791,moderate,False,True
16,detailed,Mucopolysaccharidoses,philtrum_length,Latino/Hispanic,3.0,137.0,1.457702147139868,0.4693381623396773,2.8703682713836876,0.3129491495189479,0.6761853943954809,insufficient,False,True
16,detailed,Mucopolysaccharidoses,philtrum_length,Middle Eastern,3.0,122.0,1.0180664843802758,0.1590601275304826,1.7944549877789842,0.3932150419850262,0.4666807831400773,insufficient,False,True
17,detailed,AU-KLINE SYNDROME; AUKS,nose_ala_height_l,East Asian,2.0,140.0,2.0859617892271847,1.4062741281436344,2.9220557737339243,0.1347248855434018,0.0936469883128558,insufficient,False,True
