shortlist_rank,review_rank,syndrome,feature,anatomical_region,feature_family,candidate_tier,n_disease,n_healthy,mean_disease,median_disease,mean_healthy,median_healthy,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,global_q,cliffs_delta,rank_biserial,effect_direction_bootstrap_stability,hedges_g_alternative,hedges_g_ci_95_low_alternative,hedges_g_ci_95_high_alternative,alternative_global_q,both_selections_significant,effect_direction_agrees,absolute_change_hedges_g,both_confidence_intervals_exclude_zero,interpretability_flag,editorial_rank_score,literature_status,clinical_interpretation,literature_search_terms
11,43,Holoprosencephaly,mouth_opening,philtrum / mouth / lips,mouth_opening,moderate_candidate,11,942,0.3893433261887164,0.3329698961493926,0.135578937908555,0.1242532269279927,1.95806935910626,0.9711027120448106,2.9423420101750044,0.0033248508852315,0.6703339123721289,0.670333912372129,1.0,1.95806935910626,0.9711027120448106,2.9423420101750044,0.0033812042900659,True,True,0.0,True,True,13.398069359106259,unreviewed,TBD,TBD
12,44,Coffin-Siris syndrome,philtrum_length,philtrum / mouth / lips,philtrum_length,primary_candidate,43,942,0.3303851430437748,0.3166319538613885,0.2848302841731749,0.2838415889614529,0.9050027577477248,0.5116863841486314,1.3666411906240543,0.003155163352184,0.3465659408482694,0.3465659408482693,1.0,0.7835094953889784,0.3943833165452884,1.2067310017642074,0.0132613238066733,True,True,0.12149326235874636,True,True,13.382016233030233,unreviewed,TBD,TBD
13,45,KBG SYNDROME; KBGS,jaw_to_forehead_ratio,chin / jaw,jaw_to_forehead_ratio,primary_candidate,32,942,1.008737658392956,1.0023208175006653,1.084235035651304,1.0820499752326038,-1.2233240597451245,-1.5739741072421938,-0.8784887742216063,4.24270184363193e-07,-0.6205546709129511,-0.6205546709129512,1.0,-1.2935307363825184,-1.6716973500659729,-0.9091487464426542,8.14891956644738e-08,True,True,0.07020667663739388,True,True,13.362910706470336,unreviewed,TBD,TBD
14,47,SOTOS SYNDROME; SOTOS,forehead_width_mid,forehead,forehead_width_mid,primary_candidate,25,942,0.907160139161569,0.9056732757038304,0.8717933457632211,0.8709651266071212,1.3279207261233474,0.9034605417765698,1.7545052367988938,1.0971751874372274e-05,0.6206369426751592,0.6206369426751592,1.0,1.3279207261233474,0.9034605417765698,1.7545052367988938,1.0480479402385456e-05,True,True,0.0,True,True,13.327920726123347,unreviewed,TBD,TBD
15,48,Kabuki syndrome,inter_canthal_distance,eyes / orbital dimensions,inter_canthal_distance,primary_candidate,35,942,0.2675067163495924,0.2671280957412867,0.2519552872906554,0.2512061827354069,0.9804057520934378,0.650843323350154,1.3509630506498254,7.797215217525661e-05,0.483773127085229,0.483773127085229,1.0,1.0148227841444653,0.6818910536594831,1.3836837742599035,3.300439005988748e-05,True,True,0.03441703205102742,True,True,13.311571687991384,unreviewed,TBD,TBD
16,49,Mucopolysaccharidoses,philtrum_length,philtrum / mouth / lips,philtrum_length,primary_candidate,37,942,0.3257519254140801,0.3211958405187076,0.2848302841731749,0.2838415889614529,0.835842313214958,0.494621131786145,1.2244884348537464,0.0004555494542819,0.4284730590463074,0.4284730590463075,1.0,0.8336731031479686,0.4865031286291618,1.225488267035376,0.0005732317212724,True,True,0.0021692100669894465,True,True,13.311503893080978,unreviewed,TBD,TBD
17,50,AU-KLINE SYNDROME; AUKS,nose_ala_height_l,nose,nose_ala_height,moderate_candidate,11,942,0.0749459199002746,0.0758184768656099,0.0647331365055625,0.0645101186649806,1.8686864210928895,1.5203237600647148,2.195955941396873,3.11487258473413e-05,0.8867014089944026,0.8867014089944025,1.0,1.8686864210928895,1.5203237600647148,2.195955941396873,3.0773439993758873e-05,True,True,0.0,True,True,13.308686421092888,unreviewed,TBD,TBD
18,51,NICOLAIDES-BARAITSER SYNDROME; NCBRS,forehead_width_mid,forehead,forehead_width_mid,primary_candidate,24,942,0.9097083341544084,0.9127180378881496,0.8717933457632211,0.8709651266071212,1.4248374234264716,1.0170882800948935,1.885501225801804,4.827044077270809e-06,0.6543701344656758,0.6543701344656758,1.0,1.3841165769072468,0.9555611591166492,1.8544172510504917,8.388214767930402e-06,True,True,0.04072084651922481,True,True,13.303395730388022,unreviewed,TBD,TBD
19,53,NICOLAIDES-BARAITSER SYNDROME; NCBRS,jaw_to_forehead_ratio,chin / jaw,jaw_to_forehead_ratio,primary_candidate,24,942,0.9995904802242638,0.998923902255952,1.084235035651304,1.0820499752326038,-1.3748546072114518,-1.7362203120023134,-1.0463527265237784,1.5403216404072088e-06,-0.6847133757961783,-0.6847133757961783,1.0,-1.3918193787823872,-1.755432912006999,-1.0774026209222916,8.566591051947936e-07,True,True,0.016964771570935344,True,True,13.300925064069581,unreviewed,TBD,TBD
20,56,Rubinstein-Taybi syndrome,inter_canthal_distance,eyes / orbital dimensions,inter_canthal_distance,primary_candidate,24,942,0.2735056415368456,0.2714763160751337,0.2519552872906554,0.2512061827354069,1.3566177165164266,0.888096327281935,1.7911002340234785,1.914583122019522e-05,0.6170382165605095,0.6170382165605095,1.0,1.334044937815996,0.8799153394105531,1.777868496163891,3.015032244714401e-05,True,True,0.022572778700430618,True,True,13.271472159115566,unreviewed,TBD,TBD
21,63,SOTOS SYNDROME; SOTOS,face_triangularity,global face shape / proportions,face_triangularity,primary_candidate,25,942,0.5963101909566544,0.5908321420745752,0.5543925309280083,0.5577225634872556,1.2505274585388348,0.9429469042441908,1.602417442538961,2.07708984080633e-06,0.6634394904458599,0.6634394904458598,1.0,1.2505274585388348,0.9429469042441908,1.602417442538961,2.063863542014064e-06,True,True,0.0,True,True,13.250527458538835,unreviewed,TBD,TBD
22,78,"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",eb_inter_distance,eyebrows,eb_inter_distance,moderate_candidate,14,942,0.2145673012423116,0.2115819918545401,0.1950117598059135,0.1945834924052124,1.566285425483779,0.7455922629186714,2.3988401821850256,0.0049100662791242,0.5753715498938429,0.575371549893843,1.0,1.566285425483779,0.7455922629186714,2.3988401821850256,0.004891947953371,True,True,0.0,True,True,13.126285425483779,unreviewed,TBD,TBD
23,79,Holoprosencephaly,chin_height,chin / jaw,chin_height,moderate_candidate,11,942,0.117045740252803,0.1253506586082172,0.176382523906743,0.1763056592284836,-1.6804570814546322,-2.256711819077803,-1.0400324526814264,0.0006739224649374,-0.7573827446438911,-0.7573827446438911,1.0,-1.6804570814546322,-2.256711819077803,-1.0400324526814264,0.000608704161879,True,True,0.0,True,True,13.120457081454632,unreviewed,TBD,TBD
24,80,"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",inter_pupillary_distance,ocular position / iris / gaze,inter_pupillary_distance,moderate_candidate,14,942,0.4918686501620061,0.4880183430167145,0.4549316656552766,0.4546033363292034,1.538618534748223,1.0182430959464477,2.128743588775438,0.0002436372802942,0.7129208371246588,0.7129208371246587,1.0,1.538618534748223,1.0182430959464477,2.128743588775438,0.0002241462978707,True,True,0.0,True,True,13.098618534748223,unreviewed,TBD,TBD
25,99,Rubinstein-Taybi syndrome,malar_bulge_mean,cheeks / malar region,malar_bulge,primary_candidate,24,942,0.0340538984393892,0.0348351476143261,0.0412305950089593,0.0416614638437925,-1.001558727445106,-1.4628332310859595,-0.4922939641232706,0.0028092798681783,-0.4640835102618542,-0.4640835102618542,1.0,-0.9870599637841392,-1.4466217949510878,-0.4780744431702562,0.0037193031391668,True,True,0.014498763660966918,True,True,12.932561200123173,unreviewed,TBD,TBD
