review_rank,syndrome,feature,anatomical_region,feature_family,candidate_tier,n_disease,n_healthy,mean_disease,median_disease,mean_healthy,median_healthy,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,global_q,cliffs_delta,rank_biserial,effect_direction_bootstrap_stability,hedges_g_alternative,hedges_g_ci_95_low_alternative,hedges_g_ci_95_high_alternative,alternative_global_q,both_selections_significant,effect_direction_agrees,absolute_change_hedges_g,both_confidence_intervals_exclude_zero,interpretability_flag,editorial_rank_score,literature_status,clinical_interpretation,literature_search_terms
23,WILLIAMS-BEUREN SYNDROME; WBS,eye_area_r,eyes / orbital dimensions,eye_area,primary_candidate,67,942,0.0118026513620783,0.011724834375049,0.0088610225297358,0.0089942516626058,0.9062071640249948,0.6403890581290284,1.194708770131207,1.1820646322574865e-07,0.4541939981620559,0.4541939981620559,1.0,0.9062071640249948,0.6403890581290284,1.194708770131207,1.1382844606923945e-07,True,True,0.0,True,True,13.906207164024995,unreviewed,TBD,TBD
24,WILLIAMS-BEUREN SYNDROME; WBS,eye_area_l,eyes / orbital dimensions,eye_area,primary_candidate,67,942,0.0117978308068626,0.0117829323837005,0.0088644916511539,0.0090633649556277,0.8989868944534728,0.6463730303321518,1.186775402591134,8.85752126787759e-08,0.4588839243274075,0.4588839243274076,1.0,0.8989868944534728,0.6463730303321518,1.186775402591134,8.14891956644738e-08,True,True,0.0,True,True,13.898986894453472,unreviewed,TBD,TBD
25,WILLIAMS-BEUREN SYNDROME; WBS,nostril_region_area,nose,nostril_region_area,primary_candidate,67,942,0.0176479983466898,0.0175911702127398,0.0154232559750808,0.015282903381654,0.8555271812592644,0.593167419841144,1.151788369137246,3.933026486537669e-07,0.4381278321766961,0.4381278321766961,1.0,0.8555271812592644,0.593167419841144,1.151788369137246,3.933026486537669e-07,True,True,0.0,True,True,13.855527181259264,unreviewed,TBD,TBD
26,WILLIAMS-BEUREN SYNDROME; WBS,eye_fissure_length_r,eyes / orbital dimensions,eye_fissure_length,primary_candidate,67,942,0.2108691604021712,0.2090049952740724,0.197349087185091,0.1965973485184808,0.8443568328401883,0.6178816166532283,1.122115938155118,1.2172730353603544e-06,0.4220299775010299,0.4220299775010299,1.0,0.8443568328401883,0.6178816166532283,1.122115938155118,1.1282042766754504e-06,True,True,0.0,True,True,13.844356832840187,unreviewed,TBD,TBD
27,WILLIAMS-BEUREN SYNDROME; WBS,eb_inter_distance,eyebrows,eb_inter_distance,primary_candidate,67,942,0.2054886894616156,0.2053276835164084,0.1950117598059135,0.1945834924052124,0.8394718701756256,0.5397564066625536,1.119391045354435,1.0706452074873903e-06,0.4239312989194156,0.4239312989194157,1.0,0.8394718701756256,0.5397564066625536,1.119391045354435,1.0157403250521397e-06,True,True,0.0,True,True,13.839471870175625,unreviewed,TBD,TBD
28,Noonan syndrome,eb_thickness_mean,eyebrows,eb_thickness,primary_candidate,34,942,0.0176785821954456,0.0179461187415035,0.0152435255920658,0.0152085555704443,1.3968143569492697,1.0658958448182196,1.742607443838493,4.149055130057907e-09,0.6861496190833021,0.6861496190833021,1.0,1.393820093568083,1.0657284105723128,1.7395043111553263,4.257492169972387e-09,True,True,0.0029942633811868014,True,True,13.750825830186894,unreviewed,TBD,TBD
29,Noonan syndrome,outer_canthal_distance,eyes / orbital dimensions,outer_canthal_distance,primary_candidate,34,942,0.6874239768111394,0.6802307429531375,0.646208071321148,0.6447895676793544,1.3651085299940733,0.9350682856531022,1.792881777873141,4.112641042498678e-07,0.6036592981141501,0.6036592981141502,1.0,1.3753539247993831,0.9361383698768414,1.823328862430803,4.097019855636063e-07,True,True,0.010245394805309838,True,True,13.704617740383453,unreviewed,TBD,TBD
30,Noonan syndrome,inter_canthal_distance,eyes / orbital dimensions,inter_canthal_distance,primary_candidate,34,942,0.2731503091704786,0.2746102288037343,0.2519552872906554,0.2512061827354069,1.33788307706647,0.98383156883772,1.7020012613838031,9.264287490396613e-08,0.6321968277756963,0.6321968277756962,1.0,1.3309539627715463,0.9743374318002096,1.6986043599210447,9.295680019810318e-08,True,True,0.0069291142949237106,True,True,13.684024848476621,unreviewed,TBD,TBD
31,Noonan syndrome,inter_pupillary_distance,ocular position / iris / gaze,inter_pupillary_distance,primary_candidate,34,942,0.4871328618934021,0.4801078308554846,0.4549316656552766,0.4546033363292034,1.318882217017805,0.8200175888304531,1.8177713414474108,2.8806779586561127e-06,0.5649431747221182,0.5649431747221181,1.0,1.316091075775544,0.8200175888304531,1.8177713414474108,2.8806779586561127e-06,True,True,0.002791141242260986,True,True,13.673299934533283,unreviewed,TBD,TBD
32,Noonan syndrome,forehead_width_mid,forehead,forehead_width_mid,primary_candidate,34,942,0.906188176392812,0.9057554167765636,0.8717933457632211,0.8709651266071212,1.2716776813768302,0.7360023929676335,1.734957390254241,3.6027985480003527e-06,0.5581366304483577,0.5581366304483577,1.0,1.2863800698144463,0.7459210363335903,1.7637922922590774,3.474147190700366e-06,True,True,0.014702388437616065,True,True,13.602272904501598,unreviewed,TBD,TBD
