syndrome,anatomical_region,total_tested_comparisons,number_significant,number_significant_large,eligible_syndromes,fraction_significant,fraction_significant_large
WIEDEMANN-STEINER SYNDROME; WDSTS,chin / jaw,5,0,0,1,0.0,0.0
WIEDEMANN-STEINER SYNDROME; WDSTS,forehead,5,0,0,1,0.0,0.0
WILLIAMS-BEUREN SYNDROME; WBS,chin / jaw,5,4,3,1,0.8,0.6
WILLIAMS-BEUREN SYNDROME; WBS,cheeks / malar region,8,4,1,1,0.5,0.125
WILLIAMS-BEUREN SYNDROME; WBS,eyebrows,20,12,3,1,0.6,0.15
WILLIAMS-BEUREN SYNDROME; WBS,forehead,5,5,2,1,1.0,0.4
WILLIAMS-BEUREN SYNDROME; WBS,global face shape / proportions,6,5,2,1,0.8333333333333334,0.3333333333333333
WILLIAMS-BEUREN SYNDROME; WBS,nose,18,12,6,1,0.6666666666666666,0.3333333333333333
WILLIAMS-BEUREN SYNDROME; WBS,eyes / orbital dimensions,29,26,6,1,0.896551724137931,0.20689655172413793
WILLIAMS-BEUREN SYNDROME; WBS,philtrum / mouth / lips,18,8,2,1,0.4444444444444444,0.1111111111111111
WILLIAMS-BEUREN SYNDROME; WBS,ocular position / iris / gaze,16,6,0,1,0.375,0.0
ZTTK SYNDROME; ZTTKS,forehead,5,2,1,1,0.4,0.2
ZTTK SYNDROME; ZTTKS,eyes / orbital dimensions,29,2,0,1,0.06896551724137931,0.0
ZTTK SYNDROME; ZTTKS,eyebrows,20,1,1,1,0.05,0.05
ZTTK SYNDROME; ZTTKS,philtrum / mouth / lips,18,0,0,1,0.0,0.0
ZTTK SYNDROME; ZTTKS,global face shape / proportions,6,0,0,1,0.0,0.0
ZTTK SYNDROME; ZTTKS,ocular position / iris / gaze,16,0,0,1,0.0,0.0
ZTTK SYNDROME; ZTTKS,chin / jaw,5,0,0,1,0.0,0.0
ZTTK SYNDROME; ZTTKS,cheeks / malar region,8,0,0,1,0.0,0.0
ZTTK SYNDROME; ZTTKS,nose,18,0,0,1,0.0,0.0
